Id,Label,Kingdom,Phylum,Class,Order,Family,Genus,FC,PD_sig
g__Ruminiclostridium_5,g__Ruminiclostridium_5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,1.26322029625169,No
g__Lactobacillus,g__Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,1.57108796381589,Yes_Increased
g__Tyzzerella,g__Tyzzerella,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,1.50647815645928,No
g__Clostridium_sensu_stricto_1,g__Clostridium_sensu_stricto_1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,1.81803167953366,No
g__Delftia,g__Delftia,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Delftia,220.195261571625,No
g__Coprococcus_3,g__Coprococcus_3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus_3,0.885240831151283,No
g__Negativibacillus,g__Negativibacillus,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Negativibacillus,0.918696317457005,No
g__Acinetobacter,g__Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,140.932097667193,No
g__Finegoldia,g__Finegoldia,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,2.60288203946457,No
g__Christensenellaceae_R-7_group,g__Christensenellaceae_R-7_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,0.989061038331537,No
g__Ruminococcaceae_UCG-013,g__Ruminococcaceae_UCG-013,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,0.734184933562764,No
g__Prevotella_7,g__Prevotella_7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,1.33193352866366,No
f__Planococcaceae_unclass,f__Planococcaceae_unclass,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,2.38976774020916,No
g__Lachnospiraceae_ND3007_group,g__Lachnospiraceae_ND3007_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_ND3007_group,0.591462070641249,Yes_Decreased
g__Peptoniphilus,g__Peptoniphilus,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus,2.13859787188299,No
g__Stenotrophomonas,g__Stenotrophomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,235.646930659696,No
g__Intestinibacter,g__Intestinibacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,0.927415310521937,No
g__Intestinimonas,g__Intestinimonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,0.829620365504364,No
g__Hungatella,g__Hungatella,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,1.77488613621868,No
g__Butyricicoccus,g__Butyricicoccus,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,0.676885031827267,Yes_Decreased
g__Succiniclasticum,g__Succiniclasticum,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Succiniclasticum,4.06383265094582,No
g__Desulfovibrio,g__Desulfovibrio,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,1.80791353929342,No
g__Ruminococcaceae_UCG-004,g__Ruminococcaceae_UCG-004,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-004,1.22509010511555,No
g__Ruminococcaceae_UCG-014,g__Ruminococcaceae_UCG-014,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014,0.613454899476659,No
f__Veillonellaceae_unclass,f__Veillonellaceae_unclass,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,NA,2.16756901370468,No
g__Pediococcus,g__Pediococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,3.10518204557464,No
g__Pseudoxanthomonas,g__Pseudoxanthomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,289.612499559066,No
g__Eggerthella,g__Eggerthella,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,0.93340364011739,No
g__Paraprevotella,g__Paraprevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,0.804002576096374,No
g__Butyrivibrio,g__Butyrivibrio,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,0.729454381058026,No
g__Family_XIII_AD3011_group,g__Family_XIII_AD3011_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group,1.26451246062318,No
g__Staphylococcus,g__Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,1.29301663682313,No
g__Comamonas,g__Comamonas,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,3.46022963499133,No
g__Kosakonia,g__Kosakonia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kosakonia,112.193440731731,No
g__Butyricimonas,g__Butyricimonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,1.37277845737431,No
g__Sutterella,g__Sutterella,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sutterella,1.66634443618624,No
g__Methanomassiliicoccus,g__Methanomassiliicoccus,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,3.40229603368895,No
g__Lachnospiraceae_UCG-010,g__Lachnospiraceae_UCG-010,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-010,1.16079957359561,No
o__Rhodospirillales_unclass,o__Rhodospirillales_unclass,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,1.08115866662187,No
g__Porphyromonas,g__Porphyromonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,2.93910018026324,Yes_Increased
g__Coprococcus_2,g__Coprococcus_2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus_2,0.403258951026393,No
f__Pseudomonadaceae_unclass,f__Pseudomonadaceae_unclass,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA,19.1614925298541,No
g__Prevotella,g__Prevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,4.39043380094875,Yes_Increased
c__Clostridia_unclass,c__Clostridia_unclass,Bacteria,Firmicutes,Clostridia,NA,NA,NA,2.45878976280548,No
g__Streptomyces,g__Streptomyces,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,2.29638275952623,No
g__Prevotella_6,g__Prevotella_6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_6,2.77761840546875,No
g__Coprococcus_1,g__Coprococcus_1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus_1,1.30269464222085,No
