Id,Label,Kingdom,Phylum,Class,Order,Family,Genus,FC,PD_sig
g__Ochrobactrum,g__Ochrobactrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,34.5939773268411,No
g__Methanosphaera,g__Methanosphaera,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,1.26180696019533,No
f__Prevotellaceae_unclass,f__Prevotellaceae_unclass,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,0.469421176216642,No
g__Erysipelatoclostridium,g__Erysipelatoclostridium,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,0.794280406617951,No
g__Achromobacter,g__Achromobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter,273.80298849992,No
f__Barnesiellaceae_unclass,f__Barnesiellaceae_unclass,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,NA,0.822413263968585,No
g__Sphingopyxis,g__Sphingopyxis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,670.307768717777,No
g__Rikenellaceae_RC9_gut_group,g__Rikenellaceae_RC9_gut_group,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,8.09864743801663,No
f__Lactobacillaceae_unclass,f__Lactobacillaceae_unclass,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,NA,Inf,No
f__Rikenellaceae_unclass,f__Rikenellaceae_unclass,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,NA,1.2377843137036,No
o__Gastranaerophilales_unclass,o__Gastranaerophilales_unclass,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,NA,NA,0.898314478864894,No
