Id,Label,Kingdom,Phylum,Class,Order,Family,Genus,FC,PD_sig
g__Escherichia/Shigella,g__Escherichia/Shigella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,0.837064251542923,No
g__Bacteroides,g__Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.866552632150064,No
g__Akkermansia,g__Akkermansia,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,2.48293081840288,No
g__Agathobacter,g__Agathobacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,0.527237542341615,Yes_Decreased
g__Faecalibacterium,g__Faecalibacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.626751598125138,Yes_Decreased
f__Enterobacteriaceae_unclass,f__Enterobacteriaceae_unclass,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,1.09920788089818,No
g__Alistipes,g__Alistipes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,1.14569491441218,No
g__Parabacteroides,g__Parabacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,1.29336659170766,No
g__Bifidobacterium,g__Bifidobacterium,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1.83449022328611,Yes_Increased
g__Ruminococcus_2,g__Ruminococcus_2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_2,1.44762054866391,No
g__Blautia,g__Blautia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.681263365374466,Yes_Decreased
g__Subdoligranulum,g__Subdoligranulum,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,0.903264693920625,No
g__Prevotella_9,g__Prevotella_9,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,0.682940141936773,No
